Time
2023-06-26 00:05:30.870977
2023-06-26 00:19:30.872455
2023-06-26 00:34:30.874023
2023-06-26 00:48:30.875487
2023-06-26 01:02:30.876965
2023-06-26 01:17:30.878533
2023-06-26 01:31:30.880012
2023-06-26 01:46:30.881550
2023-06-26 02:00:30.883013
2023-06-26 02:14:30.884477
2023-06-26 02:29:30.886045
2023-06-26 02:43:30.887509
2023-06-26 02:57:30.888972
2023-06-26 03:12:30.890555
2023-06-26 03:26:30.892019
2023-06-26 03:41:30.893618
2023-06-26 03:55:30.895035
2023-06-26 04:09:30.896499
2023-06-26 04:24:30.898067
2023-06-26 04:38:30.899530
2023-06-26 04:53:30.901098
2023-06-26 05:07:30.902562
2023-06-26 05:21:30.904040
2023-06-26 05:36:30.905609
2023-06-26 05:50:30.907087
2023-06-26 06:04:30.908535
2023-06-26 06:19:30.910088
2023-06-26 06:34:30.911657
2023-06-26 06:48:30.913120
2023-06-26 07:02:30.914569
2023-06-26 07:16:30.916047
2023-06-26 07:31:30.917630
2023-06-26 07:45:30.919094
2023-06-26 08:00:30.920662
2023-06-26 08:14:30.922140
2023-06-26 08:29:30.923678
2023-06-26 08:43:30.925142
2023-06-26 08:57:30.926605
2023-06-26 09:11:30.928069
2023-06-26 09:26:30.929637
2023-06-26 09:40:30.931116
2023-06-26 09:55:30.932684
2023-06-26 10:09:30.934162
2023-06-26 10:24:30.935746
2023-06-26 10:38:30.937164
2023-06-26 10:52:30.938627
2023-06-26 11:07:30.940195
2023-06-26 11:21:30.941659
2023-06-26 11:35:30.943122
2023-06-26 11:50:30.944690
2023-06-26 12:04:30.946169
2023-06-26 12:18:30.947632
2023-06-26 12:33:30.949200
2023-06-26 12:47:30.950649
2023-06-26 13:01:30.952112
2023-06-26 13:16:30.953680
2023-06-26 13:30:30.955144
2023-06-26 13:44:30.956608
2023-06-26 13:59:30.958176
2023-06-26 14:13:30.959639
2023-06-26 14:28:30.961222
2023-06-26 14:42:30.962701
2023-06-26 14:56:30.964348
2023-06-26 15:10:30.965598
2023-06-26 15:25:30.967166
2023-06-26 15:39:30.968629
2023-06-26 15:54:30.970197
2023-06-26 16:08:30.971661
2023-06-26 16:22:30.973154
2023-06-26 16:37:30.974708
2023-06-26 16:51:30.976171
2023-06-26 17:05:30.977666
2023-06-26 17:20:30.979188
2023-06-26 17:34:30.980651
2023-06-26 17:48:30.982114
2023-06-26 18:03:30.983683
2023-06-26 18:17:30.985146
2023-06-26 18:31:30.986610
2023-06-26 18:46:30.988193
2023-06-26 19:00:30.989656
2023-06-26 19:15:30.991239
2023-06-26 19:29:30.992688
2023-06-26 19:43:30.994136
2023-06-26 19:57:30.995600
2023-06-26 20:12:30.997168
2023-06-26 20:26:30.998631
2023-06-26 20:40:31.000095
2023-06-26 20:55:31.001693
2023-06-26 21:09:31.003142
2023-06-26 21:23:31.004620
2023-06-26 21:38:31.006173
2023-06-26 21:52:31.007622
2023-06-26 22:06:31.009085
2023-06-26 22:21:31.010653
2023-06-26 22:35:31.012117
2023-06-26 22:50:31.013685
2023-06-26 23:04:31.015178
2023-06-26 23:18:31.016627
2023-06-26 23:33:31.018195
2023-06-26 23:47:31.019689
